Author,User Rating,Percent,Author-t
Larry Schweikart,4.6,0.007076923076923076,Malo
Laura Dave,4.3,0.006615384615384615,Malo
Laura Hillenbrand,24.0,0.036923076923076927,Malo
Laurel Randolph,8.6,0.01323076923076923,Malo
Lin-Manuel Miranda,4.9,0.007538461538461539,Malo
Lysa TerKeurst,9.5,0.014615384615384615,Malo
M Prefontaine,4.6,0.007076923076923076,Malo
Madeleine L'Engle,4.5,0.006923076923076923,Malo
Madeline Miller,4.7,0.007230769230769231,Malo
Malcolm Gladwell,18.0,0.027692307692307693,Malo
Margaret Atwood,4.3,0.006615384615384615,Malo
Margaret Wise Brown,14.399999999999999,0.022153846153846152,Malo
Marie Kond????,18.0,0.027692307692307693,Malo
Marjorie Sarnat,9.6,0.014769230769230769,Malo
Mark Hyman M.D.,4.2,0.006461538461538462,Malo
Mark Manson,18.4,0.028307692307692305,Malo
Mark Owen,4.6,0.007076923076923076,Malo
Mark R. Levin,14.5,0.022307692307692306,Malo
Mark Twain,4.2,0.006461538461538462,Malo
Markus Zusak,9.2,0.014153846153846152,Malo
Marty Noble,4.6,0.007076923076923076,Malo
Mary Ann Shaffer,4.7,0.007230769230769231,Malo
Mary L. Trump Ph.D.,4.6,0.007076923076923076,Malo
Matt Haig,4.3,0.006615384615384615,Malo
Matthew McConaughey,9.4,0.014461538461538461,Malo
Maurice Sendak,4.8,0.0073846153846153844,Malo
Megan Logan MSW LCSW ,4.7,0.007230769230769231,Malo
Melissa Hartwig Urban,13.799999999999999,0.02123076923076923,Malo
Michael Lewis,4.7,0.007230769230769231,Malo
Michael Pollan,4.4,0.00676923076923077,Malo
Michael Wolff,4.2,0.006461538461538462,Malo
Michelle Obama,14.399999999999999,0.022153846153846152,Malo
Mike Moreno,4.3,0.006615384615384615,Malo
Mitch Albom,4.8,0.0073846153846153844,Malo
Muriel Barbery,4.0,0.006153846153846154,Malo
Naomi Kleinberg,9.4,0.014461538461538461,Malo
Nathan W. Pyle,4.9,0.007538461538461539,Malo
National Geographic Kids,4.8,0.0073846153846153844,Malo
Neil deGrasse Tyson,4.7,0.007230769230769231,Malo
Paper Peony Press,4.4,0.00676923076923077,Malo
Patrick Lencioni,23.0,0.03538461538461538,Malo
Patrick Thorpe,4.9,0.007538461538461539,Malo
Paul Kalanithi,4.8,0.0073846153846153844,Malo
Paula Hawkins,8.2,0.012615384615384615,Malo
Paula McLain,4.3,0.006615384615384615,Malo
Paulo Coelho,9.4,0.014461538461538461,Malo
Pete Souza,4.9,0.007538461538461539,Malo
Peter A. Lillback,4.5,0.006923076923076923,Malo
Phil Robertson,4.8,0.0073846153846153844,Malo
Pierre Dukan,4.1,0.0063076923076923076,Malo
Pretty Simple Press,4.6,0.007076923076923076,Malo
R. J. Palacio,24.0,0.036923076923076927,Malo
RH Disney,9.3,0.01430769230769231,Malo
Rachel Hollis,13.799999999999999,0.02123076923076923,Malo
